fighter_a,fighter_b,a_kd,b_kd,a_sig_str_landed,a_sig_str_att,b_sig_str_landed,b_sig_str_att,a_total_str_landed,a_total_str_att,b_total_str_landed,b_total_str_att,a_td_landed,a_td_att,b_td_landed,b_td_att,a_sub_att,b_sub_att,a_rev,b_rev,a_ctrl_sec,b_ctrl_sec,a_head_landed,a_head_att,b_head_landed,b_head_att,a_body_landed,a_body_att,b_body_landed,b_body_att,a_leg_landed,a_leg_att,b_leg_landed,b_leg_att,a_dist_landed,a_dist_att,b_dist_landed,b_dist_att,a_clinch_landed,a_clinch_att,b_clinch_landed,b_clinch_att,a_ground_landed,a_ground_att,b_ground_landed,b_ground_att,fight_url
Marcelo Rojo,Francis Marshall,0,0,18,26,11,44,35,44,17,51,0,0,1,3,0,0,0,0,0,163,12,20,8,41,1,1,2,2,5,5,1,1,12,19,7,40,1,1,1,1,5,6,3,3,http://www.ufcstats.com/fight-details/1114cd1515cf3b8f
Yazmin Jauregui,Istela Nunes,0,1,27,86,24,40,27,86,25,41,0,3,0,0,0,0,0,0,6,2,18,72,13,29,4,8,7,7,5,6,4,4,25,82,20,36,2,4,4,4,0,0,0,0,http://www.ufcstats.com/fight-details/2cec230248d7eb97
Kennedy Nzechukwu,Ion Cutelaba,0,0,2,6,5,6,2,6,26,37,0,1,2,6,0,0,0,0,67,212,2,6,4,5,0,0,0,0,0,0,1,1,2,6,4,4,0,0,0,1,0,0,1,1,http://www.ufcstats.com/fight-details/c33257dd0605c7de
Chase Sherman,Waldo Cortes Acosta,0,0,18,50,29,71,23,55,29,73,1,1,0,0,0,0,0,0,63,4,6,36,19,60,4,5,6,7,8,9,4,4,18,48,27,69,0,2,2,2,0,0,0,0,http://www.ufcstats.com/fight-details/110f539523a4b571
Andre Fialho,Muslim Salikhov,0,0,11,38,11,22,20,49,19,35,0,0,1,3,0,0,0,0,20,79,6,29,5,12,3,5,2,6,2,4,4,4,8,34,9,17,3,4,1,4,0,0,1,1,http://www.ufcstats.com/fight-details/c317f85a8266313e
Jack Della Maddalena,Danny Roberts,2,0,33,60,5,33,41,68,5,33,0,0,0,1,0,0,0,0,34,15,23,41,2,29,9,16,1,2,1,3,2,2,27,50,4,32,2,2,1,1,4,8,0,0,http://www.ufcstats.com/fight-details/d0c01840c72429c6
Charles Johnson,Zhalgas Zhumagulov,0,0,32,60,43,77,32,60,46,80,0,1,0,1,0,0,0,0,0,21,15,34,10,35,15,22,15,23,2,4,18,19,30,58,40,74,2,2,3,3,0,0,0,0,http://www.ufcstats.com/fight-details/b4cfb34e8224fd77
Jennifer Maia,Maryna Moroz,0,0,30,58,13,61,36,64,13,61,0,0,0,0,0,0,0,0,92,0,23,49,9,52,3,5,4,9,4,4,0,0,28,56,12,60,2,2,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/144443d4dbf43990
Vince Morales,Miles Johns,0,0,8,32,10,26,8,32,10,26,0,0,0,1,0,0,0,0,0,2,6,27,7,23,1,3,1,1,1,2,2,2,8,32,10,25,0,0,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/594435375d641f63
Ricky Turcios,Kevin Natividad,0,0,17,27,9,19,49,62,11,22,2,2,2,3,0,0,2,0,150,90,16,26,4,14,0,0,3,3,1,1,2,2,4,10,5,13,1,4,2,3,12,13,2,3,http://www.ufcstats.com/fight-details/0f2983fe7753403f
