event,date,fight_url,fighter_a,fighter_b,winner,method,round,time,weight_class
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/f594fc5c2bc6237e,Kevin Vallejos,Josh Emmett,Draw/NC,"KO/TKO

      

        Punches",1,3:33,Featherweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/3b7b771b9578383d,Gillian Robertson,Amanda Lemos,Draw/NC,U-DEC,3,5:00,Women's Strawweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/8bee5192baec71d8,Jose Delgado,Andre Fili,Draw/NC,S-DEC,3,5:00,Featherweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/e0acd0cf4930671b,Marwan Rahiki,Harry Hardwick,Draw/NC,KO/TKO,2,5:00,Featherweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/db7694f4513120d5,Ion Cutelaba,Oumar Sy,Draw/NC,"SUB

      

        Guillotine Choke",1,4:24,Light Heavyweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/fc9168fd102e2e66,Charles Johnson,Bruno Silva,Draw/NC,S-DEC,3,5:00,Flyweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/f26c0bdf7689aea2,Myktybek Orolbai,Chris Curtis,Draw/NC,U-DEC,3,5:00,Welterweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/2c330a6f7f1e55f0,Vitor Petrino,Steven Asplund,Draw/NC,U-DEC,3,5:00,Heavyweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/f44b4e998b6829f6,Elijah Smith,SuYoung You,Draw/NC,"SUB

      

        Rear Naked Choke",2,1:04,Bantamweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/c769dd861357af9f,Manoel Sousa,Bolaji Oki,Draw/NC,"KO/TKO

      

        Punch",3,4:12,Lightweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/cff81d681a01ae18,Eryk Anders,Brad Tavares,Draw/NC,U-DEC,3,5:00,Middleweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/8cab057e6549afd0,Bia Mesquita,Montse Rendon,Draw/NC,"SUB

      

        Rear Naked Choke",1,2:07,Women's Bantamweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/32d371462c539bee,Hecher Sosa,Luan Lacerda,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/244285b7fd0ddece,Piera Rodriguez,Sam Hughes,Draw/NC,U-DEC,3,5:00,Women's Strawweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/f030febede41c661,Charles Oliveira,Max Holloway,Draw/NC,U-DEC,5,5:00,Lightweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/d564db29997e1371,Caio Borralho,Reinier de Ridder,Draw/NC,U-DEC,3,5:00,Middleweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/bed89a91da9d04c1,Raul Rosas Jr.,Rob Font,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/f02c0adc4ae629c6,Drew Dober,Michael Johnson,Draw/NC,"KO/TKO

      

        Punch",2,1:53,Lightweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/6a4738656c493ee9,Gregory Rodrigues,Brunno Ferreira,Draw/NC,"KO/TKO

      

        Punch",1,1:47,Middleweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/ecd16d14a138d7fb,Cody Garbrandt,Xiao Long,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/9c8d5dbd8905a715,Donte Johnson,Cody Brundage,Draw/NC,S-DEC,3,5:00,Middleweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/6feb49a6b7e8433c,Alberto Montes,Ricky Turcios,Draw/NC,"SUB

      

        Anaconda Choke",2,0:40,Featherweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/f661ef429055f8c1,Nyamjargal Tumendemberel,Cody Durden,Draw/NC,U-DEC,3,5:00,Flyweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/a22fd3735819d858,Sumudaerji,Jesus Aguilar,Draw/NC,U-DEC,3,5:00,Flyweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/cc03e698c4b7da52,Diyar Nurgozhay,Rafael Tobias,Draw/NC,U-DEC,3,5:00,Light Heavyweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/a5abdc461cb1538e,Rodolfo Bellato,Luke Fernandez,Draw/NC,"KO/TKO

      

        Punches",1,2:42,Light Heavyweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/1330b5c21269fe92,Lone'er Kavanagh,Brandon Moreno,Draw/NC,U-DEC,5,5:00,Flyweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/36d12b31957e94db,David Martinez,Marlon Vera,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/81f3d28d30d17378,King Green,Daniel Zellhuber,Draw/NC,"KO/TKO

      

        Punches",2,4:55,Lightweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/7df505d8260ba680,Edgar Chairez,Felipe Bunes,Draw/NC,S-DEC,3,5:00,Flyweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/15068d7b095ca9bd,Imanol Rodriguez,Kevin Borjas,Draw/NC,"KO/TKO

      

        Punch",2,4:21,Flyweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/3b76a00f5d0400eb,Santiago Luna,Angel Pacheco,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/45ec0c5f19c9adbe,Ryan Gandra,Jose Daniel Medina,Draw/NC,"KO/TKO

      

        Punches",1,0:41,Middleweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/c40b934d2666e351,Ailin Perez,Macy Chiasson,Draw/NC,U-DEC,3,5:00,Women's Bantamweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/25ab195cefbce1d0,Cristian Quinonez,Kris Moutinho,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/6154ee95d3f4fc32,Javier Reyes,Douglas Silva de Andrade,Draw/NC,"KO/TKO

      

        Punches",1,4:59,Featherweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/44d58943ac8e47e1,Regina Tarin,Ernesta Kareckaite,Draw/NC,U-DEC,3,5:00,Catch Weight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/581292ffe5b09344,Francis Marshall,Erik Silva,Draw/NC,"SUB

      

        Rear Naked Choke",1,2:29,Featherweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/c6a85b67fdd2ef3d,Damian Pinas,Wes Schultz,Draw/NC,"KO/TKO

      

        Punch",1,2:30,Middleweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/8d740c844353ae0e,Sean Strickland,Anthony Hernandez,Draw/NC,"KO/TKO

      

        Punches",3,2:23,Middleweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/dd12bf51c5ed7f1e,Uros Medic,Geoff Neal,Draw/NC,"KO/TKO

      

        Punch",1,1:19,Welterweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/dc6f6c8228390ebb,Melquizael Costa,Dan Ige,Draw/NC,"KO/TKO

      

        Spinning Back Kick",1,4:56,Featherweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/04b7bcc0e8488604,Serghei Spivac,Ante Delija,Draw/NC,U-DEC,3,5:00,Heavyweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/54437b8dba3a6110,Jacobe Smith,Josiah Harrell,Draw/NC,"KO/TKO

      

        Punches",1,3:01,Welterweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/372d1dee0db8dbee,Michel Pereira,Zach Reese,Draw/NC,S-DEC,3,5:00,Middleweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/202d3277e569ad03,Carlos Leal,Chidi Njokuani,Draw/NC,U-DEC,3,5:00,Welterweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/7ffdaa44fc8d111b,Alibi Idiris,Ode Osbourne,Draw/NC,U-DEC,3,5:00,Flyweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/ac39c1f00ae31e58,Alden Coria,Luis Gurule,Draw/NC,U-DEC,3,5:00,Flyweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/fd56a469e4589ebc,Joselyne Edwards,Nora Cornolle,Draw/NC,"SUB

      

        Rear Naked Choke",2,2:44,Women's Bantamweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/8f9896e60047007f,Punahele Soriano,Ramiz Brahimaj,Draw/NC,U-DEC,3,5:00,Welterweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/508e622130b0a84d,Jean-Paul Lebosnoyani,Phil Rowe,Draw/NC,S-DEC,3,5:00,Welterweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/5b97f47cdd355cbe,Jordan Leavitt,Yadier del Valle,Draw/NC,U-DEC,3,5:00,Featherweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/6e78d874097a3d22,Carli Judice,Juliana Miller,Draw/NC,U-DEC,3,5:00,Women's Flyweight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/fb4b1754d510b0d0,Mario Bautista,Vinicius Oliveira,Draw/NC,"SUB

      

        Rear Naked Choke",2,4:46,Bantamweight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/dbbf8334a2600895,Kyoji Horiguchi,Amir Albazi,Draw/NC,U-DEC,3,5:00,Flyweight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/a5c5f76cf0a7c784,Rizvan Kuniev,Jailton Almeida,Draw/NC,U-DEC,3,5:00,Heavyweight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/8fea32ab0445859c,Michal Oleksiejczuk,Marc-Andre Barriault,Draw/NC,U-DEC,3,5:00,Middleweight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/2a26c0cfa06265b7,Farid Basharat,Jean Matsumoto,Draw/NC,S-DEC,3,5:00,Bantamweight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/6cca11f353a2b42d,Dustin Jacoby,Julius Walker,Draw/NC,"KO/TKO

      

        Punches",2,1:42,Light Heavyweight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/f964d2dda87f25f0,Daniil Donchenko,Alex Morono,Draw/NC,U-DEC,3,5:00,Welterweight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/abefaf1807941ee4,Nikolay Veretennikov,Niko Price,Draw/NC,"KO/TKO

      

        Punches",1,1:42,Welterweight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/cc5c5a8cff4c1ae9,Ketlen Souza,Bruna Brasil,Draw/NC,U-DEC,3,5:00,Women's Strawweight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/86df0e75f41784d8,Javid Basharat,Gianni Vazquez,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/84e8ccc3c97c2b4c,Wang Cong,Eduarda Moura,Draw/NC,U-DEC,3,5:00,Catch Weight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/9d30c887e8bd8824,Jakub Wiklacz,Muin Gafurov,Draw/NC,"SUB

      

        Guillotine Choke",3,4:59,Bantamweight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/2bbfbb234c255249,Klaudia Sygula,Priscila Cachoeira,Draw/NC,U-DEC,3,5:00,Women's Bantamweight
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/b06b43670238c2d8,Alexander Volkanovski,Diego Lopes,Draw/NC,U-DEC,5,5:00,Featherweight
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/a7ae8f6eb5fc3a79,Benoit Saint Denis,Dan Hooker,Draw/NC,"KO/TKO

      

        Punches",2,4:45,Lightweight
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/57d7a683b85bb87b,Mauricio Ruffy,Rafael Fiziev,Draw/NC,"KO/TKO

      

        Punches",2,4:30,Lightweight
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/67765535bd0b6bdf,Tallison Teixeira,Tai Tuivasa,Draw/NC,U-DEC,3,5:00,Heavyweight
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/32e9bc4d0a19a923,Quillan Salkilld,Jamie Mullarkey,Draw/NC,"SUB

      

        Neck Crank",1,3:02,Lightweight
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/d94f1b32a81e3fa1,Billy Elekana,Junior Tafa,Draw/NC,"SUB

      

        Rear Naked Choke",2,3:18,Light Heavyweight
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/47362cae6ba0e077,Cam Rowston,Cody Brundage,Draw/NC,"KO/TKO

      

        Punches",2,4:08,Middleweight
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/0047f8aadca1936f,Jacob Malkoun,Torrez Finney,Draw/NC,U-DEC,3,5:00,Middleweight
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/78912b78aa946375,Jonathan Micallef,Oban Elliott,Draw/NC,"SUB

      

        Rear Naked Choke",2,3:31,Welterweight
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/4c1e7e1765a5438a,Kaan Ofli,Yizha,Draw/NC,M-DEC,3,5:00,Featherweight
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/ad14c502c9c5a7e9,Dom Mar Fan,Sangwook Kim,Draw/NC,U-DEC,3,5:00,Lightweight
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/780bae82bdfc7112,Keiichiro Nakamura,Sebastian Szalay,Draw/NC,"KO/TKO

      

        Knee",3,3:48,Featherweight
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/5c73e0013b859664,Lawrence Lui,Sulangrangbo,Draw/NC,S-DEC,3,5:00,Bantamweight
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/fa4b3f5ce8055921,Justin Gaethje,Paddy Pimblett,Draw/NC,U-DEC,5,5:00,Lightweight
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/007e8e0d4a39d82c,Sean O'Malley,Song Yadong,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/d93ee3860196c4ae,Waldo Cortes Acosta,Derrick Lewis,Draw/NC,"KO/TKO

      

        Punches",2,3:14,Heavyweight
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/d63c9aa4f4873001,Natalia Silva,Rose Namajunas,Draw/NC,U-DEC,3,5:00,Women's Flyweight
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/836a188a90e479a5,Jean Silva,Arnold Allen,Draw/NC,U-DEC,3,5:00,Featherweight
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/6c9f4799990c3c33,Umar Nurmagomedov,Deiveson Figueiredo,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/33be2456161c14c3,Ateba Gautier,Andrey Pulyaev,Draw/NC,U-DEC,3,5:00,Middleweight
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/780cab0cd07589e4,Nikita Krylov,Modestas Bukauskas,Draw/NC,"KO/TKO

      

        Punch",3,4:57,Light Heavyweight
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/b5aafe149bec4306,Alex Perez,Charles Johnson,Draw/NC,"KO/TKO

      

        Punch",1,3:16,Flyweight
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/abfb3ed6dcb0e1f0,Josh Hokit,Denzel Freeman,Draw/NC,"KO/TKO

      

        Punches",1,4:59,Heavyweight
UFC 324: Gaethje vs. Pimblett,"January 24, 2026",http://www.ufcstats.com/fight-details/210fc45074fba464,Ty Miller,Adam Fugitt,Draw/NC,"KO/TKO

      

        Punches",1,4:59,Welterweight
UFC Fight Night: Royval vs. Kape,"December 13, 2025",http://www.ufcstats.com/fight-details/a5a81a39ccf9b680,Manel Kape,Brandon Royval,Draw/NC,"KO/TKO

      

        Punches",1,3:18,Flyweight
UFC Fight Night: Royval vs. Kape,"December 13, 2025",http://www.ufcstats.com/fight-details/24bb03f0a3415fbe,Kevin Vallejos,Giga Chikadze,Draw/NC,"KO/TKO

      

        Spinning Back Fist",2,1:29,Featherweight
UFC Fight Night: Royval vs. Kape,"December 13, 2025",http://www.ufcstats.com/fight-details/d000cb692343cdcd,Cezary Oleksiejczuk,Cesar Almeida,Draw/NC,U-DEC,3,5:00,Middleweight
UFC Fight Night: Royval vs. Kape,"December 13, 2025",http://www.ufcstats.com/fight-details/93ca562453f65b8d,Melquizael Costa,Morgan Charriere,Draw/NC,"KO/TKO

      

        Kick",1,1:14,Featherweight
UFC Fight Night: Royval vs. Kape,"December 13, 2025",http://www.ufcstats.com/fight-details/47149f3187661509,Kennedy Nzechukwu,Marcus Buchecha,Draw/NC,U-DEC,3,5:00,Heavyweight
UFC Fight Night: Royval vs. Kape,"December 13, 2025",http://www.ufcstats.com/fight-details/fc4ab243d21b795d,King Green,Lance Gibson Jr.,Draw/NC,S-DEC,3,5:00,Catch Weight
UFC Fight Night: Royval vs. Kape,"December 13, 2025",http://www.ufcstats.com/fight-details/0fca825e14429c1f,Yaroslav Amosov,Neil Magny,Draw/NC,"SUB

      

        Anaconda Choke",1,3:14,Welterweight
UFC Fight Night: Royval vs. Kape,"December 13, 2025",http://www.ufcstats.com/fight-details/225e93ebed9b71b8,Joanderson Brito,Isaac Thomson,Draw/NC,U-DEC,3,5:00,Featherweight
UFC Fight Night: Royval vs. Kape,"December 13, 2025",http://www.ufcstats.com/fight-details/a2523a8565fe4361,Steven Asplund,Sean Sharaf,Draw/NC,"KO/TKO

      

        Punches",2,3:49,Heavyweight
UFC Fight Night: Royval vs. Kape,"December 13, 2025",http://www.ufcstats.com/fight-details/ceb5b0f1f6daddf6,Luana Santos,Melissa Croden,Draw/NC,U-DEC,3,5:00,Women's Bantamweight
UFC Fight Night: Royval vs. Kape,"December 13, 2025",http://www.ufcstats.com/fight-details/ac56a1052c4c8f63,Guilherme Pat,Allen Frye Jr.,Draw/NC,U-DEC,3,5:00,Heavyweight
UFC Fight Night: Royval vs. Kape,"December 13, 2025",http://www.ufcstats.com/fight-details/71170fb7ade3e1f4,Jamey-Lyn Horth,Tereza Bleda,Draw/NC,"KO/TKO

      

        Punches",1,2:05,Women's Flyweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/4a0db214d9721d6e,Petr Yan,Merab Dvalishvili,Draw/NC,U-DEC,5,5:00,Bantamweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/dfa692db6d39330c,Joshua Van,Alexandre Pantoja,Draw/NC,KO/TKO,1,0:26,Flyweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/fbbb9e72900b71f5,Tatsuro Taira,Brandon Moreno,Draw/NC,"KO/TKO

      

        Punches",2,2:24,Flyweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/1dc29f4c6fcdd356,Payton Talbott,Henry Cejudo,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/6d6ab10cbaa45e8c,Jan Blachowicz,Bogdan Guskov,Draw/NC,M-DEC,3,5:00,Light Heavyweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/c797b58d85c840a4,Manuel Torres,Grant Dawson,Draw/NC,"KO/TKO

      

        Punch",1,2:25,Lightweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/b3d2ac2244e4f791,Chris Duncan,Terrance McKinney,Draw/NC,"SUB

      

        Anaconda Choke",1,2:30,Lightweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/2417cc7bc1eea75b,Maycee Barber,Karine Silva,Draw/NC,U-DEC,3,5:00,Women's Flyweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/10a57b983e59f727,Fares Ziam,Nazim Sadykhov,Draw/NC,"KO/TKO

      

        Punches",2,4:59,Lightweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/3c683da1924b6c44,Brunno Ferreira,Marvin Vettori,Draw/NC,U-DEC,3,5:00,Middleweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/7af407397532f7cf,Jalin Turner,Edson Barboza,Draw/NC,"KO/TKO

      

        Punches",1,2:24,Lightweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/ea660db65bfa998f,Iwo Baraniewski,Ibo Aslan,Draw/NC,"KO/TKO

      

        Punches",1,1:29,Light Heavyweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/964ea1777695851b,Mansur Abdul-Malik,Antonio Trocoli,Draw/NC,"SUB

      

        Guillotine Choke",1,1:09,Middleweight
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",http://www.ufcstats.com/fight-details/40fa4f8b4b93884e,Mairon Santos,Muhammad Naimov,Draw/NC,"KO/TKO

      

        Punches",3,0:21,Featherweight
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",http://www.ufcstats.com/fight-details/5f5b626e67529056,Arman Tsarukyan,Dan Hooker,Draw/NC,"SUB

      

        Arm Triangle",2,3:34,Lightweight
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",http://www.ufcstats.com/fight-details/b2218930b982d9b6,Ian Machado Garry,Belal Muhammad,Draw/NC,U-DEC,3,5:00,Welterweight
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",http://www.ufcstats.com/fight-details/870d374f8d9af65a,Volkan Oezdemir,Alonzo Menifield,Draw/NC,"KO/TKO

      

        Punches",1,1:27,Light Heavyweight
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",http://www.ufcstats.com/fight-details/8ed609d80e135d94,Myktybek Orolbai,Jack Hermansson,Draw/NC,"KO/TKO

      

        Punch",1,2:46,Welterweight
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",http://www.ufcstats.com/fight-details/e8307c7686c42d8c,Waldo Cortes Acosta,Shamil Gaziev,Draw/NC,"KO/TKO

      

        Punch",1,1:22,Heavyweight
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",http://www.ufcstats.com/fight-details/00ee51bba08b7a08,Kyoji Horiguchi,Tagir Ulanbekov,Draw/NC,"SUB

      

        Rear Naked Choke",3,2:18,Flyweight
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",http://www.ufcstats.com/fight-details/5e6a74db89f5410c,Luke Riley,Bogdan Grad,Draw/NC,"KO/TKO

      

        Punches",2,0:30,Featherweight
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",http://www.ufcstats.com/fight-details/c49485cedb878cf0,Nicolas Dalby,Saygid Izagakhmaev,Draw/NC,S-DEC,3,5:00,Welterweight
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",http://www.ufcstats.com/fight-details/443f30a4a856584a,Asu Almabayev,Alex Perez,Draw/NC,"SUB

      

        Guillotine Choke",3,0:22,Flyweight
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",http://www.ufcstats.com/fight-details/f5564a9eeebd4ea0,Abdul Rakhman Yakhyaev,Rafael Cerqueira,Draw/NC,"SUB

      

        Rear Naked Choke",1,0:33,Light Heavyweight
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",http://www.ufcstats.com/fight-details/6f0231915cc28507,Aleksandre Topuria,Bekzat Almakhan,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",http://www.ufcstats.com/fight-details/335064c3380e2f10,Ismail Naurdiev,Ryan Loder,Draw/NC,"KO/TKO

      

        Punch",1,1:26,Middleweight
