fighter_a,fighter_b,fighter_a_line,fighter_b_line,event,date
Farid Basharat,Montel Jackson,-200,165,UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22
Khamzat Chimaev,Robert Whittaker,-250,200,UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22
Alex Pereira,Jiri Prochazka,-148,120,UFC 303: Pereira vs. Prochazka 2,2024-06-29
Dan Ige,Diego Lopes,220,-286,UFC 303: Pereira vs. Prochazka 2,2024-06-29
Brian Ortega,Diego Lopes,130,-157,UFC 303: Pereira vs. Prochazka 2,2024-06-29
Anthony Smith,Roman Dolidze,118,-145,UFC 303: Pereira vs. Prochazka 2,2024-06-29
Macy Chiasson,Mayra Bueno Silva,-110,-105,UFC 303: Pereira vs. Prochazka 2,2024-06-29
Ian Machado Garry,Michael Page,-200,154,UFC 303: Pereira vs. Prochazka 2,2024-06-29
Joe Pyfer,Marc-Andre Barriault,-333,250,UFC 303: Pereira vs. Prochazka 2,2024-06-29
Andre Fili,Cub Swanson,-238,180,UFC 303: Pereira vs. Prochazka 2,2024-06-29
Charles Jourdain,Jean Silva,-134,110,UFC 303: Pereira vs. Prochazka 2,2024-06-29
Payton Talbott,Yanis Ghemmouri,-1600,850,UFC 303: Pereira vs. Prochazka 2,2024-06-29
Rose Namajunas,Tracy Cortez,-270,210,UFC Fight Night: Namajunas vs. Cortez,2024-07-13
Muslim Salikhov,Santiago Ponzinibbio,145,-185,UFC Fight Night: Namajunas vs. Cortez,2024-07-13
Drew Dober,Jean Silva,-108,-110,UFC Fight Night: Namajunas vs. Cortez,2024-07-13
Ange Loosa,Gabriel Bonfim,310,-390,UFC Fight Night: Namajunas vs. Cortez,2024-07-13
Christian Rodriguez,Julian Erosa,-265,215,UFC Fight Night: Namajunas vs. Cortez,2024-07-13
Abdul Razak Alhassan,Cody Brundage,-150,125,UFC Fight Night: Namajunas vs. Cortez,2024-07-13
Charles Johnson,Joshua van,220,-270,UFC Fight Night: Namajunas vs. Cortez,2024-07-13
Fatima Kline,Jasmine Jasudavicius,122,-145,UFC Fight Night: Namajunas vs. Cortez,2024-07-13
Damon Blackshear,Montel Jackson,-105,-112,UFC Fight Night: Namajunas vs. Cortez,2024-07-13
Luana Santos,Mariya Agapova,-400,300,UFC Fight Night: Namajunas vs. Cortez,2024-07-13
Amanda Lemos,Virna Jandiroba,-105,-115,UFC Fight Night: Lemos vs. Jandiroba,2024-07-20
Seungwoo Choi,Steve Garcia,148,-182,UFC Fight Night: Lemos vs. Jandiroba,2024-07-20
Kaynan Kruschewsky,Kurt Holobaugh,-144,120,UFC Fight Night: Lemos vs. Jandiroba,2024-07-20
Bruno Silva,Cody Durden,-148,124,UFC Fight Night: Lemos vs. Jandiroba,2024-07-20
Bill Algeo,Doo Ho Choi,-225,190,UFC Fight Night: Lemos vs. Jandiroba,2024-07-20
Hyder Amil,Jeongyeong Lee,172,-205,UFC Fight Night: Lemos vs. Jandiroba,2024-07-20
Belal Muhammad,Leon Edwards,200,-260,UFC 304: Edwards vs. Muhammad 2,2024-07-27
Curtis Blaydes,Tom Aspinall,300,-420,UFC 304: Edwards vs. Muhammad 2,2024-07-27
Bobby Green,Paddy Pimblett,110,-137,UFC 304: Edwards vs. Muhammad 2,2024-07-27
Christian Leroy Duncan,Gregory Rodrigues,-122,104,UFC 304: Edwards vs. Muhammad 2,2024-07-27
Arnold Allen,Giga Chikadze,-270,210,UFC 304: Edwards vs. Muhammad 2,2024-07-27
Daniel Pineda,Nathaniel Wood,333,-455,UFC 304: Edwards vs. Muhammad 2,2024-07-27
Bruna Brasil,Molly McCann,270,-350,UFC 304: Edwards vs. Muhammad 2,2024-07-27
Caolan Loughran,Jake Hadley,-238,186,UFC 304: Edwards vs. Muhammad 2,2024-07-27
Manel Kape,Muhammad Mokaev,170,-205,UFC 304: Edwards vs. Muhammad 2,2024-07-27
Cory Sandhagen,Umar Nurmagomedov,275,-350,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Michal Oleksiejczuk,Sharabutdin Magomedov,215,-275,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Deiveson Figueiredo,Marlon Vera,-148,120,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Michael Chiesa,Tony Ferguson,-520,360,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Loopy Godinez,Mackenzie Dern,112,-140,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Elves Brener,Joel Alvarez,130,-158,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Alonzo Menifield,Azamat Murzakanov,240,-298,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Kaue Fernandes,Mohammad Yahya,-375,295,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Don'tale Mayes,Shamil Gaziev,240,-295,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Guram Kutateladze,Jordan Vucenic,-210,170,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Sam Hughes,Victoria Dudakova,165,-210,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Jai Herbert,Rolando Bedoya,-118,63,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Denis Tiuliulin,Sedriques Dumas,195,-240,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Abdul-Kareem Al-Selwady,Guram Kutateladze,200,-250,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03
Marcin Tybura,Sergey Spivak,128,-160,UFC Fight Night: Tybura vs. Spivac 2,2024-08-10
Chepe Mariscal,Damon Jackson,-185,151,UFC Fight Night: Tybura vs. Spivac 2,2024-08-10
Damon Jackson,Jose Mariscal,84,-88,UFC Fight Night: Tybura vs. Spivac 2,2024-08-10
Danny Barlow,Nikolay Veretennikov,-425,320,UFC Fight Night: Tybura vs. Spivac 2,2024-08-10
Chris Gutierrez,Quang Le,-650,450,UFC Fight Night: Tybura vs. Spivac 2,2024-08-10
Israel Adesanya,Joe Pyfer,-112,-112,UFC 305: Du Plessis vs. Adesanya,2024-08-17
Caio Borralho,Jared Cannonier,-275,220,UFC Fight Night: Cannonier vs. Borralho,2024-08-24
Angela Hill,Tabatha Ricci,150,-178,UFC Fight Night: Cannonier vs. Borralho,2024-08-24
Robert Valentin,Ryan Loder,-144,120,UFC Fight Night: Cannonier vs. Borralho,2024-08-24
Kaan Ofli,Mairon Santos,176,-225,UFC Fight Night: Cannonier vs. Borralho,2024-08-24
Michael Morales,Neil Magny,-900,600,UFC Fight Night: Cannonier vs. Borralho,2024-08-24
Edmen Shahbazyan,Gerald Meerschaert,-325,260,UFC Fight Night: Cannonier vs. Borralho,2024-08-24
Dennis Buzukja,Francis Marshall,163,-205,UFC Fight Night: Cannonier vs. Borralho,2024-08-24
Jose Medina,Zach Reese,540,-770,UFC Fight Night: Cannonier vs. Borralho,2024-08-24
James Llontop,Viacheslav Borshchev,190,-230,UFC Fight Night: Cannonier vs. Borralho,2024-08-24
Jacqueline Cavalcanti,Josiane Nunes,-286,220,UFC Fight Night: Cannonier vs. Borralho,2024-08-24
Gilbert Burns,Michael Morales,370,-482,UFC Fight Night: Burns vs. Brady,2024-09-07
Paul Craig,Rodolfo Bellato,310,-398,UFC Fight Night: Burns vs. Brady,2024-09-07
Mairon Santos,Sodiq Yusuff,-155,130,UFC Fight Night: Burns vs. Brady,2024-09-07
Qileng Aori,Raul Rosas Jr.,472,-812,UFC 306: Riyadh Season Noche UFC,2024-09-14
Aoriqileng,Raul Rosas Jr.,650,-1000,UFC 306: Riyadh Season Noche UFC,2024-09-14
Benoit Saint-Denis,Renato Moicano,-275,220,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Brendan Allen,Nassourdine Imavov,170,-205,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Joanderson Brito,William Gomis,-315,245,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Bryan Battle,Kevin Jousset,-180,143,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Gabriel Miranda,Morgan Charriere,430,-600,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Fares Ziam,Matt Frevola,-125,105,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Ion Cutelaba,Ivan Erslan,-102,-115,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Da Un Jung,Oumar Sy,234,-274,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Da Woon Jung,Oumar Sy,428,-595,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Ludovit Klein,Roosevelt Roberts,-1000,650,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Taylor Lapilus,Vince Morales,-370,290,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Ailin Perez,Darya Zheleznyakova,-225,180,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Daniel Barez,Victor Altamirano,100,-124,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Jacqueline Cavalcanti,Nora Cornolle,-210,175,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Bolaji Oki,Chris Duncan,-168,142,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
Ovince St. Preux,Ryan Spann,176,-225,UFC 307: Pereira vs. Rountree Jr.,2024-10-05
Carla Esparza,Tecia Pennington,150,-180,UFC 307: Pereira vs. Rountree Jr.,2024-10-05
Court McGee,Tim Means,168,-200,UFC 307: Pereira vs. Rountree Jr.,2024-10-05
Brandon Royval,Tatsuro Taira,240,-310,UFC Fight Night: Royval vs. Taira,2024-10-12
Brad Tavares,Jun Yong Park,180,-225,UFC Fight Night: Royval vs. Taira,2024-10-12
Chidi Njokuani,Jared Gooden,-150,124,UFC Fight Night: Royval vs. Taira,2024-10-12
Anthony Hernandez,Michel Pereira,-150,123,UFC Fight Night: Hernandez vs. Pereira,2024-10-19
Kyler Phillips,Rob Font,-625,440,UFC Fight Night: Hernandez vs. Pereira,2024-10-19
Charles Johnson,Sumudaerji Sumudaerji,-300,235,UFC Fight Night: Hernandez vs. Pereira,2024-10-19
Cameron Smotherman,Jake Hadley,425,-590,UFC Fight Night: Hernandez vs. Pereira,2024-10-19
Daniel Pineda,Darren Elkins,126,-157,UFC Fight Night: Hernandez vs. Pereira,2024-10-19
Asu Almabayev,Matheus Nicolau,-225,185,UFC Fight Night: Hernandez vs. Pereira,2024-10-19
Brad Katona,Jean Matsumoto,180,-225,UFC Fight Night: Hernandez vs. Pereira,2024-10-19
Brady Hiestand,Jake Hadley,-150,125,UFC Fight Night: Hernandez vs. Pereira,2024-10-19
Joselyne Edwards,Tamires Vidal,-250,205,UFC Fight Night: Hernandez vs. Pereira,2024-10-19
Elise Reed,Jessica Penne,-200,170,UFC Fight Night: Hernandez vs. Pereira,2024-10-19
Alice Ardelean,Melissa Martinez,120,-150,UFC Fight Night: Hernandez vs. Pereira,2024-10-19
Austen Lane,Robelis Despaigne,300,-400,UFC Fight Night: Hernandez vs. Pereira,2024-10-19
Ilia Topuria,Max Holloway,-275,215,UFC 308: Topuria vs. Holloway,2024-10-26
Khamzat Chimaev,Robert Whittaker,-225,188,UFC 308: Topuria vs. Holloway,2024-10-26
Aleksandar Rakir,Magomed Ankalaev,270,-350,UFC 308: Topuria vs. Holloway,2024-10-26
Dan Ige,Lerone Murphy,260,-335,UFC 308: Topuria vs. Holloway,2024-10-26
Armen Petrosyan,Shara Magomedov,145,-175,UFC 308: Topuria vs. Holloway,2024-10-26
Ibo Aslan,Raffael Cerqueira,-105,-115,UFC 308: Topuria vs. Holloway,2024-10-26
Geoff Neal,Rafael Dos Anjos,-260,215,UFC 308: Topuria vs. Holloway,2024-10-26
Mateusz Rebecki,Myktybek Orolbai,220,-275,UFC 308: Topuria vs. Holloway,2024-10-26
Abus Magomedov,Brunno Ferreira,-159,130,UFC 308: Topuria vs. Holloway,2024-10-26
Chris Barnett,Kennedy Nzechukwu,525,-750,UFC 308: Topuria vs. Holloway,2024-10-26
Farid Basharat,Victor Hugo,-720,500,UFC 308: Topuria vs. Holloway,2024-10-26
Bruno Silva,Ismail Naurdiev,142,-175,UFC 308: Topuria vs. Holloway,2024-10-26
Carlos Leal Miranda,Rinat Fakhretdinov,180,-218,UFC 308: Topuria vs. Holloway,2024-10-26
Junior Tafa,Kennedy Nzechukwu,125,-150,UFC 308: Topuria vs. Holloway,2024-10-26
Daniel Santos,Said Nurmagomedov,240,-300,UFC 308: Topuria vs. Holloway,2024-10-26
Amir Albazi,Brandon Moreno,140,-170,UFC Fight Night: Moreno vs. Albazi,2024-11-02
Erin Blanchfield,Rose Namajunas,-155,130,UFC Fight Night: Moreno vs. Albazi,2024-11-02
Brendson Ribeiro,Caio Machado,144,-180,UFC Fight Night: Moreno vs. Albazi,2024-11-02
Ariane da Silva,Jasmine Jasudavicius,188,-240,UFC Fight Night: Moreno vs. Albazi,2024-11-02
Ariane Lipski,Jasmine Jasudavicius,184,-220,UFC Fight Night: Moreno vs. Albazi,2024-11-02
Dustin Stoltzfus,Marc-Andre Barriault,215,-260,UFC Fight Night: Moreno vs. Albazi,2024-11-02
Mike Malott,Trevin Giles,-375,290,UFC Fight Night: Moreno vs. Albazi,2024-11-02
Carlos Prates,Neil Magny,-800,550,UFC Fight Night: Magny vs. Prates,2024-11-09
Gerald Meerschaert,Reinier de Ridder,250,-333,UFC Fight Night: Magny vs. Prates,2024-11-09
Cortavious Romious,Gaston Bolanos,-250,198,UFC Fight Night: Magny vs. Prates,2024-11-09
Gillian Robertson,Luana Pinheiro,-450,350,UFC Fight Night: Magny vs. Prates,2024-11-09
Dusko Todorovic,Mansur Abdul-Malik,370,-485,UFC Fight Night: Magny vs. Prates,2024-11-09
Benardo Sopaj,Ricky Turcios,-166,164,UFC Fight Night: Magny vs. Prates,2024-11-09
Jon Jones,Stipe Miocic,-550,400,UFC 309: Jones vs. Miocic,2024-11-16
Charles Oliveira,Michael Chandler,-250,205,UFC 309: Jones vs. Miocic,2024-11-16
Bo Nickal,Paul Craig,-1200,700,UFC 309: Jones vs. Miocic,2024-11-16
Karine Silva,Viviane Araujo,-295,240,UFC 309: Jones vs. Miocic,2024-11-16
James Llontop,Mauricio Ruffy,640,-1000,UFC 309: Jones vs. Miocic,2024-11-16
Jonathan Martinez,Marcus McGhee,63,-115,UFC 309: Jones vs. Miocic,2024-11-16
Chris Weidman,Eryk Anders,-105,-115,UFC 309: Jones vs. Miocic,2024-11-16
Damon Jackson,Jim Miller,-225,180,UFC 309: Jones vs. Miocic,2024-11-16
David Onama,Roberto Romero,-1350,800,UFC 309: Jones vs. Miocic,2024-11-16
Jhonata Diniz,Marcin Tybura,-115,-105,UFC 309: Jones vs. Miocic,2024-11-16
Mickey Gall,Ramiz Brahimaj,-175,145,UFC 309: Jones vs. Miocic,2024-11-16
Bassil Hafez,Oban Elliott,240,-300,UFC 309: Jones vs. Miocic,2024-11-16
Deiveson Figueiredo,Petr Yan,220,-275,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Tabatha Ricci,Xiaonan Yan,155,-190,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Kenan Song,Muslim Salikhov,180,-225,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Cong Wang,Gabriella Fernandes,-1200,750,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Gabriella Fernandes,Wang Cong,600,-950,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Carlos Ulberg,Volkan Oezdemir,-300,225,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Mingyang Zhang,Ozzy Diaz,-265,205,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Ozzy Diaz,Zhang Mingyang,200,-250,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Balgyn Jenisuly,Su Young You,112,-94,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Baergeng Jieleyisi,Suyoung Yu,187,-228,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Dong Hoon Choi,Kiru Sahota,-122,102,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Feng Xiaocan,Shi Ming,-490,380,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Ming Shi,Xiaocan Feng,410,-560,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Carlos Hernandez,Nyamjargal Tumendemberel,-127,104,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Jose Ochoa,Lone'er Kavanagh,260,-350,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Long Xiao,Quang Le,-160,135,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Quang Le,Xiao Long,120,-144,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Maheshate Hayisaer,Nikolas Motta,-225,185,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Bin Xie,Kangjie Zhu,-120,100,UFC Fight Night: Yan vs. Figueiredo,2024-11-23
Belal Muhammad,Shavkat Rakhmonov,175,-210,UFC 310: Pantoja vs. Asakura,2024-12-07
Nick Diaz,Vicente Luque,450,-650,UFC 310: Pantoja vs. Asakura,2024-12-07
Alexandre Pantoja,Kai Asakura,-205,172,UFC 310: Pantoja vs. Asakura,2024-12-07
Ian Machado Garry,Shavkat Rakhmonov,320,-420,UFC 310: Pantoja vs. Asakura,2024-12-07
Alexander Volkov,Ciryl Gane,270,-350,UFC 310: Pantoja vs. Asakura,2024-12-07
Bryce Mitchell,Kron Gracie,-850,590,UFC 310: Pantoja vs. Asakura,2024-12-07
Dooho Choi,Nate Landwehr,114,-135,UFC 310: Pantoja vs. Asakura,2024-12-07
Anthony Smith,Dominick Reyes,310,-440,UFC 310: Pantoja vs. Asakura,2024-12-07
Themba Gorimbo,Vicente Luque,-164,138,UFC 310: Pantoja vs. Asakura,2024-12-07
Aljamain Sterling,Movsar Evloev,194,-235,UFC 310: Pantoja vs. Asakura,2024-12-07
Bryan Battle,Randy Brown,-190,160,UFC 310: Pantoja vs. Asakura,2024-12-07
Chris Weidman,Eryk Anders,-110,-109,UFC 310: Pantoja vs. Asakura,2024-12-07
Cody Durden,Joshua van,148,-177,UFC 310: Pantoja vs. Asakura,2024-12-07
Max Griffin,Michael Chiesa,120,-144,UFC 310: Pantoja vs. Asakura,2024-12-07
Chase Hooper,Clay Guida,-1200,725,UFC 310: Pantoja vs. Asakura,2024-12-07
Kennedy Nzechukwu,Lukasz Brzeski,-620,450,UFC 310: Pantoja vs. Asakura,2024-12-07
Colby Covington,Joaquin Buckley,172,-210,UFC Fight Night: Covington vs. Buckley,2024-12-14
Billy Quarantillo,Cub Swanson,-184,154,UFC Fight Night: Covington vs. Buckley,2024-12-14
Bruno Silva,Manel Kape,330,-425,UFC Fight Night: Covington vs. Buckley,2024-12-14
Dustin Jacoby,Vitor Petrino,250,-330,UFC Fight Night: Covington vs. Buckley,2024-12-14
Adrian Yanez,Daniel Marcos,198,-250,UFC Fight Night: Covington vs. Buckley,2024-12-14
Navajo Stirling,Tuco Tokkos,-1100,700,UFC Fight Night: Covington vs. Buckley,2024-12-14
Michael Johnson,Ottman Azaitar,-245,200,UFC Fight Night: Covington vs. Buckley,2024-12-14
Drakkar Klose,Joel Alvarez,390,-510,UFC Fight Night: Covington vs. Buckley,2024-12-14
Fernando Padilla,Sean Woodson,130,-160,UFC Fight Night: Covington vs. Buckley,2024-12-14
Felipe Lima,Miles Johns,-265,215,UFC Fight Night: Covington vs. Buckley,2024-12-14
Jamey-Lyn Horth,Miranda Maverick,540,-770,UFC Fight Night: Covington vs. Buckley,2024-12-14
Davey Grant,Ramon Taveras,-107,-110,UFC Fight Night: Covington vs. Buckley,2024-12-14
Josefin Knutsson,Piera Rodriguez,-250,205,UFC Fight Night: Covington vs. Buckley,2024-12-14
Amanda Ribas,Mackenzie Dern,-195,162,UFC Fight Night: Dern vs. Ribas 2,2025-01-11
Carlston Harris,Santiago Ponzinibbio,130,-155,UFC Fight Night: Dern vs. Ribas 2,2025-01-11
Abdul Razak Alhassan,Cesar Almeida,210,-265,UFC Fight Night: Dern vs. Ribas 2,2025-01-11
Chris Curtis,Roman Kopylov,198,-250,UFC Fight Night: Dern vs. Ribas 2,2025-01-11
Austin Bashi,Christian Rodriguez,-270,215,UFC Fight Night: Dern vs. Ribas 2,2025-01-11
Punahele Soriano,Uros Medic,185,-225,UFC Fight Night: Dern vs. Ribas 2,2025-01-11
Benardo Sopaj,Ricky Turcios,-320,250,UFC 311: Makhachev vs. Moicano,2025-01-18
Clayton Carpenter,Tagir Ulanbekov,285,-360,UFC 311: Makhachev vs. Moicano,2025-01-18
Israel Adesanya,Joe Pyfer,-112,-112,UFC Fight Night: Adesanya vs. Imavov,2025-02-01
Dricus Du Plessis,Sean Strickland,-220,175,UFC 312: Du Plessis vs. Strickland 2,2025-02-08
Tatiana Suarez,Zhang Weili,-146,123,UFC 312: Du Plessis vs. Strickland 2,2025-02-08
Justin Tafa,Tallison Teixeira,130,-156,UFC 312: Du Plessis vs. Strickland 2,2025-02-08
Francisco Prado,Jake Matthews,198,-238,UFC 312: Du Plessis vs. Strickland 2,2025-02-08
Jim Crute,Rodolfo Bellato,120,-145,UFC 312: Du Plessis vs. Strickland 2,2025-02-08
Gabriel Santos,Jack Jenkins,-225,180,UFC 312: Du Plessis vs. Strickland 2,2025-02-08
Tom Nolan,Viacheslav Borshchev,-105,-116,UFC 312: Du Plessis vs. Strickland 2,2025-02-08
Bruna Brasil,Cong Wang,250,-335,UFC 312: Du Plessis vs. Strickland 2,2025-02-08
Aleksandre Topuria,Colby Thicknesse,-350,270,UFC 312: Du Plessis vs. Strickland 2,2025-02-08
Kody Steele,Rongzhu,-338,258,UFC 312: Du Plessis vs. Strickland 2,2025-02-08
Jonathan Micallef,Kevin Jousset,170,-210,UFC 312: Du Plessis vs. Strickland 2,2025-02-08
Gregory Rodrigues,Jared Cannonier,-240,197,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15
Calvin Kattar,Youssef Zalal,350,-460,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15
Dylan Budka,Edmen Shahbazyan,425,-582,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15
Ismael Bonfim,Nazim Sadykhov,-228,182,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15
Andre Petroski,Rodolfo Vieira,222,-280,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15
Henry Cejudo,Song Yadong,210,-258,UFC Fight Night: Cejudo vs. Song,2025-02-22
Anthony Hernandez,Brendan Allen,-338,268,UFC Fight Night: Cejudo vs. Song,2025-02-22
Jean Matsumoto,Rob Font,-168,138,UFC Fight Night: Cejudo vs. Song,2025-02-22
Jean Silva,Melsik Baghdasaryan,-495,370,UFC Fight Night: Cejudo vs. Song,2025-02-22
Alonzo Menifield,Julius Walker,-220,180,UFC Fight Night: Cejudo vs. Song,2025-02-22
Ibo Aslan,Ion Cutelaba,-202,165,UFC Fight Night: Cejudo vs. Song,2025-02-22
Andre Fili,Melquizael Costa,110,-133,UFC Fight Night: Cejudo vs. Song,2025-02-22
Mansur Abdul-Malik,Nick Klein,-1152,700,UFC Fight Night: Cejudo vs. Song,2025-02-22
Javid Basharat,Ricky Simon,-255,208,UFC Fight Night: Cejudo vs. Song,2025-02-22
Austin Vanderford,Nikolay Veretennikov,-24,-111,UFC Fight Night: Cejudo vs. Song,2025-02-22
Asu Almabaev,Manel Kape,172,-220,UFC Fight Night: Kape vs. Almabayev,2025-03-01
Cody Brundage,Julian Marquez,-119,-102,UFC Fight Night: Kape vs. Almabayev,2025-03-01
Esteban Ribovics,Nasrat Haqparast,-250,205,UFC Fight Night: Kape vs. Almabayev,2025-03-01
Hyder Amil,William Gomis,178,-222,UFC Fight Night: Kape vs. Almabayev,2025-03-01
Danny Barlow,Sam Patterson,-219,180,UFC Fight Night: Kape vs. Almabayev,2025-03-01
Djorden Santos,Ozzy Diaz,-196,162,UFC 313: Pereira vs. Ankalaev,2025-03-08
Daniel Hooker,Justin Gaethje,135,-160,UFC 313: Pereira vs. Ankalaev,2025-03-08
Marvin Vettori,Roman Dolidze,-151,130,UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15
Chidi Njokuani,Elizeu Zaleski Dos Santos,164,-199,UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15
Alexander Hernandez,Kurt Holobaugh,-190,155,UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15
Cody Gibson,Da'mon Blackshear,326,-435,UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15
Leon Edwards,Sean Brady,110,-131,UFC Fight Night: Edwards vs. Brady,2025-03-22
Carlos Ulberg,Jan Blachowicz,-333,265,UFC Fight Night: Edwards vs. Brady,2025-03-22
Gunnar Nelson,Kevin Holland,-132,110,UFC Fight Night: Edwards vs. Brady,2025-03-22
Alexia Thainara,Molly McCann,-215,178,UFC Fight Night: Edwards vs. Brady,2025-03-22
Chris Duncan,Jordan Vucenic,255,-318,UFC Fight Night: Edwards vs. Brady,2025-03-22
Morgan Charriere,Nathaniel Wood,-112,-106,UFC Fight Night: Edwards vs. Brady,2025-03-22
Chris Padilla,Jai Herbert,106,-128,UFC Fight Night: Edwards vs. Brady,2025-03-22
Felipe Dos Santos,Lone'er Kavanagh,205,-252,UFC Fight Night: Edwards vs. Brady,2025-03-22
Marcin Tybura,Mick Parkin,142,-174,UFC Fight Night: Edwards vs. Brady,2025-03-22
Jack Della Maddalena,Leon Edwards,-145,120,UFC Fight Night: Edwards vs. Brady,2025-03-22
Andrey Pulyaev,Christian Leroy Duncan,330,-422,UFC Fight Night: Edwards vs. Brady,2025-03-22
Puja Tomar,Shauna Bannon,166,-205,UFC Fight Night: Edwards vs. Brady,2025-03-22
Caolan Loughran,Nathan Fletcher,125,-152,UFC Fight Night: Edwards vs. Brady,2025-03-22
Guram Kutateladze,Kaua Fernandes,-378,298,UFC Fight Night: Edwards vs. Brady,2025-03-22
Brandon Moreno,Steve Erceg,-258,208,UFC Fight Night: Moreno vs. Erceg,2025-03-29
Drew Dober,Manuel Torres,102,-124,UFC Fight Night: Moreno vs. Erceg,2025-03-29
Joe Pfyer,Kelvin Gastelum,-270,220,UFC Fight Night: Moreno vs. Erceg,2025-03-29
Cj Vergara,Edgar Chairez,218,-275,UFC Fight Night: Moreno vs. Erceg,2025-03-29
Raul Rosas Jr,Vince Morales,-490,360,UFC Fight Night: Moreno vs. Erceg,2025-03-29
Josh Emmett,Lerone Murphy,255,-326,UFC Fight Night: Emmett vs. Murphy,2025-04-05
Joanderson Brito,Pat Sabatini,-212,174,UFC Fight Night: Emmett vs. Murphy,2025-04-05
Chang Ho Lee,Cortavious Romious,-151,124,UFC Fight Night: Emmett vs. Murphy,2025-04-05
Brad Tavares,Gerald Meerschaert,-166,140,UFC Fight Night: Emmett vs. Murphy,2025-04-05
Luis Gurule,Ode Osbourne,-250,202,UFC Fight Night: Emmett vs. Murphy,2025-04-05
Robert Valentin Frey,Torrez Finney,252,-334,UFC Fight Night: Emmett vs. Murphy,2025-04-05
Diana Belbita,Dione Barbosa,675,-1050,UFC Fight Night: Emmett vs. Murphy,2025-04-05
Daniel Frunza,Rhys McKee,-120,84,UFC Fight Night: Emmett vs. Murphy,2025-04-05
Diego Lopes,Jean Silva,195,-250,UFC 314: Volkanovski vs. Lopes,2025-04-12
David Martinez,Rob Font,100,-124,UFC 314: Volkanovski vs. Lopes,2025-04-12
Carlos Prates,Jack Della Maddalena,-102,-125,UFC Fight Night: Machado Garry vs. Prates,2025-04-26
Cory Sandhagen,Deiveson Figueiredo,-500,370,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03
